orig_utt_id,aug_utt_id,spk_id,gender,condition,cos_clean_aug,embedding_drift
BAC009S0248W0176,BAC009S0248W0176_noise10,S0248,0,noise_snr10,0.6661356687545776,0.33386433124542236
BAC009S0248W0176,BAC009S0248W0176_ch8k,S0248,0,channel_8k,0.43104317784309387,0.5689568221569061
BAC009S0248W0246,BAC009S0248W0246_noise10,S0248,0,noise_snr10,0.7349499464035034,0.2650500535964966
BAC009S0248W0246,BAC009S0248W0246_ch8k,S0248,0,channel_8k,0.4641534090042114,0.5358465909957886
BAC009S0248W0327,BAC009S0248W0327_noise10,S0248,0,noise_snr10,0.7511266469955444,0.24887335300445557
BAC009S0248W0327,BAC009S0248W0327_ch8k,S0248,0,channel_8k,0.5081964135169983,0.4918035864830017
BAC009S0248W0346,BAC009S0248W0346_noise10,S0248,0,noise_snr10,0.7296996116638184,0.27030038833618164
BAC009S0248W0346,BAC009S0248W0346_ch8k,S0248,0,channel_8k,0.5260065197944641,0.4739934802055359
BAC009S0248W0486,BAC009S0248W0486_noise10,S0248,0,noise_snr10,0.714404821395874,0.285595178604126
BAC009S0248W0486,BAC009S0248W0486_ch8k,S0248,0,channel_8k,0.4449276030063629,0.5550723969936371
BAC009S0248W0150,BAC009S0248W0150_noise10,S0248,0,noise_snr10,0.7233850359916687,0.2766149640083313
BAC009S0248W0150,BAC009S0248W0150_ch8k,S0248,0,channel_8k,0.47313976287841797,0.526860237121582
BAC009S0248W0292,BAC009S0248W0292_noise10,S0248,0,noise_snr10,0.7980868816375732,0.20191311836242676
BAC009S0248W0292,BAC009S0248W0292_ch8k,S0248,0,channel_8k,0.431010901927948,0.568989098072052
BAC009S0248W0471,BAC009S0248W0471_noise10,S0248,0,noise_snr10,0.7477456331253052,0.2522543668746948
BAC009S0248W0471,BAC009S0248W0471_ch8k,S0248,0,channel_8k,0.4603310823440552,0.5396689176559448
BAC009S0248W0133,BAC009S0248W0133_noise10,S0248,0,noise_snr10,0.7159161567687988,0.28408384323120117
BAC009S0248W0133,BAC009S0248W0133_ch8k,S0248,0,channel_8k,0.5498595237731934,0.45014047622680664
BAC009S0248W0495,BAC009S0248W0495_noise10,S0248,0,noise_snr10,0.7378203868865967,0.2621796131134033
BAC009S0248W0495,BAC009S0248W0495_ch8k,S0248,0,channel_8k,0.4187167286872864,0.5812832713127136
BAC009S0248W0206,BAC009S0248W0206_noise10,S0248,0,noise_snr10,0.7609013319015503,0.2390986680984497
BAC009S0248W0206,BAC009S0248W0206_ch8k,S0248,0,channel_8k,0.43972066044807434,0.5602793395519257
BAC009S0230W0278,BAC009S0230W0278_noise10,S0230,1,noise_snr10,0.718077540397644,0.28192245960235596
BAC009S0230W0278,BAC009S0230W0278_ch8k,S0230,1,channel_8k,0.4330761730670929,0.5669238269329071
